nodes,block_size,la,rep,cholesky,n_cholesky,eigensolver,n_eigensolver,CP2K,total_energy
1,512,dlaf-nvgpu,1,7.464,1,402.900,15,933.998,-8808.40944150530049
1,1024,dlaf-nvgpu,1,7.336,1,286.927,15,839.744,-8808.40944150529867
1,2048,dlaf-nvgpu,1,7.938,1,289.162,15,860.233,-8808.40944150530413
2,512,dlaf-nvgpu,1,10.885,1,256.141,15,564.853,-8808.40944150530413
2,1024,dlaf-nvgpu,1,10.880,1,219.686,15,549.690,-8808.40944150530777
2,2048,dlaf-nvgpu,1,,,,,,
4,512,dlaf-nvgpu,1,16.227,1,213.054,15,389.122,-8808.40944150528230
4,1024,dlaf-nvgpu,1,16.050,1,189.830,15,378.372,-8808.40944150528412
4,2048,dlaf-nvgpu,1,6.963,1,210.903,15,452.511,-8808.40944150528594
8,512,dlaf-nvgpu,1,9.393,1,179.198,15,299.558,-8808.40944150527503
8,1024,dlaf-nvgpu,1,9.338,1,172.938,15,310.747,-8808.40944150527866
8,2048,dlaf-nvgpu,1,,,,,,
1,96,elpa-nvgpu,1,7.932,1,604.634,15,1168.072,-8808.40944150530595
1,128,elpa-nvgpu,1,7.166,1,480.229,15,1002.029,-8808.40944150530049
2,96,elpa-nvgpu,1,13.334,1,469.006,15,804.237,-8808.40944150531323
2,128,elpa-nvgpu,1,13.280,1,334.478,15,643.403,-8808.40944150531141
4,96,elpa-nvgpu,1,3.692,1,332.773,15,521.162,-8808.40944150529685
4,128,elpa-nvgpu,1,3.400,1,220.061,15,382.199,-8808.40944150529140
8,96,elpa-nvgpu,1,4.993,1,200.197,15,340.116,-8808.40944150528412
8,128,elpa-nvgpu,1,4.886,1,180.434,15,293.767,-8808.40944150528230

